text,lang
"2010-era 28 december qualishan tu aparute ryaging fram edukeshwan (kior) named besarkari sansthar sah-pratishthata harsh agrawal ekati nirdisht drushye agrajder dwara pradhan abhinetader ryaging nie kshover bivaran die poorvatan aich.aar.de mantri aar. ke. raghavaner netrutvadhin ekati panel, raghavan comitic ekati chithi lekhen.",ben
aapnar din bhaal katuk!,ben
tar madhyam yama (dakshina anchale basbaskari mrityur devatha)-ke pratihat karaar janya pratidbandvita badhaparikar aro ek mrityur devathake prakashye aaney uttarer anchal.,ben
yate aami amader chharachatrider ei program sampark janate pari.,ben
eta genjie tola chaler gundo die tiri kara has. eta mulath ekata pancek yar dhargulo khasta has.,ben
"duti paddhatir madhyam eti anchalti avanati saadhan kare, mulath tushar uttolan o tushar churnibhavan.",ben
"aami maine kyampasei apeksha karab, yeta praveshdwarer khub kache.",ben
saat rakamer shilpakala royas.,ben
"agulo 600 thek 1000 christabder madhye tiri hayesil. ellora guha 100ti hindu, jain aar buddha guha nie gathit, yar madhye 34ti darshanarthider janya khola.",ben
"bhalo samajik maryadasampann ingrej mahilara chhillen viral; shalyachikisak jan stuart 1785-te kanpur thek tar vaike lekhen: ""ekhankar mahilader aneke ladgate hiler mahilader tupi presentakari dokan thek evan keu keu to kavent garden evan old druri [18m shatabdeer shesher dike london patitavrittir suparichit elaka] thek aasa duhsahasini matra.""",ben
tara kii kii pradarshan kare?,ben
tahale anugrah kare tikakarner ekata upayukt tarikher khonj karo aar setakei nirdhari karo.,ben
"saptahe saat din, 13 ghanta kare upagrah doordarshan pradankari derectivi prerit ekati sadasyamulak parisheba hisabe eti 1994-e pravaratet has.",ben
sab abhijetakei amra baliuder sang tulana kari.,ben
"tara ye gatite prayukti udbhavan kare chaleng, tader sang taal millie chalate gele tomar eter prayojan have.",ben
aami ki aapnar janya aar kichu karte pari?,ben
"parsikara sindhu jalpather parippershvik sthalbhumik, sanskrit sindhu shabder bhul prayog kare hindu namankit karaar fale indas thek india namoti asese.",ben
"marilibon cricket club (em.si.si), londoner lordse yader sadar daptar, tader dwara eti rad kara has.",ben
tahale kaje ascho na ken?,ben
"na, ag ekabar kovid hay gie thakale taar roger prati pratirodh garh the na.",ben
"naki aponi ekati vivechit siddhanth nie nieven ye templenty prayojya, athva aar prayojya naya?",ben
"sar, anugrah kare countere karmider passbuke balancer parimanta tule dite balun.",ben
etake puttu bala has aar amra sadharant eta kalo chola die khai.,ben
"han, tave shuter dine amra parichayer pramanpatra dekhte chaib.",ben
gaan amar manak shanta kare.,ben
"evan ekati shikshavarsher janya rakshanavekshan bhaata, ya ekati nirdisht ekakalin pariman hiseve 10,000 taka hostel paduader janya evan 5000 taka diner day skalarder janya pradaan kara have.",ben
"aami aamish khabar pachand kari to, sei karna.",ben
jedenemdi aar dil chahata ha-era gangulo chada kono rhode trip hatei par na.,ben
"akshrik arthe, ei gram ectao avyavahrut khola jaga nei.",ben
"1991-era tibra avamulayan evan 1994-era carent acount roopantarayogyatar pare, takaar mulyati vapkbhave bazaar shakti dwara nirdhari hay asese.",ben
asha kari sab khub tadatari thik hay yave; ekhan thek amar karaar mato kichu thackle amake janio.,ben
"han, ta thik!",ben
ukrenian passport athva parichampatra sah sharnarthider poland evan germany madhye dirghapather trene vinamulye chalachaler anumodan pradaan kare german jatiya rail sanstha dorche ban.,ben
bharte runagat surakshar pariman vishal vruddhi hayes.,ben
sheshvar 2020-te du'din dhare chala ghurniyer pare kichu elaka vidyu aste 15 din avadhi leag giesil.,ben
"sthanian taxiguloo cherrapunji percent ya evan shilng thek cherrapunji yawar path tara aapnake koekati viupaent evan darshanin sthan thamar vikalp deya (elephant jalprapat, maokadak dimpap vali viu evan anyanya) seisng cherrapunji darshanin sthangulite thamar suyog thake (maosmai guha, cherrapunji ico park, nohasnithiang jalprapat baa seven cyster jalprapat).",ben
praveshikar paddhatita kii?,ben
tumi ki tar naam shuneh?,ben
"ataev, pradhan anchal samprasar, abavahika elaka mati sanrakshan, staitishil krushi, jalasha parichalana, kshayit jamir punruddhar ityadi bivinn uddeshe mrittika sampada sambandhin vishad tathy, evan seguli sambhavana/simavaddhata/kshamtaguli janaar prayojan has.",ben
masachusetser halyoke-e wai.em.si.e (america) dwara 1895-e william ji. margyan bhalibal khelati udbhavan karen.,ben
sanvidhaner prastawnar baktavyer matoi drut na pradaani halo sanvidhaner pradhantam uddeshya.,ben
"dushan vruddhir udvegajanak harer karna, grher janya yaara praia ek-titiyansh oxygen upadan kare tader sanrakshan kara aavashyak.",ben
ei sthaner asal sattaar sangya bahan kare eman bahu sankhyak chot sahar o gram rajasthaner ekevar centre avasthit.,ben
"uchchata kamate, nicher dike yawar janya bandhamukti botamati tipun.",ben
aponi ki hostele avasthaner sang parichit?,ben
han sar.,ben
"aaj ghurniyer dvitiya din, aar puro shahartai viparyast hay padese.",ben
"tai, tomar binioger opr sunischit 8 shatansh elaisi deve.",ben
kat tadatari pete pari?,ben
"bakur sanskruthik sthanguli madhye royas azerbaijan state filharmonic hal, azerbaijan state aacademik opera evan bale theatre.",ben
amra ekasang galle laagav.,ben
naagarikder digital najardari aota rakha evan baak shwadhinota prabal simavaddhata aroper madhyam maanvadhikar langhan karaar karna iti goshthi dwara vapkbhave samalochit has ei inti.,ben
"ganti belgium, bulgaria, hungary, yuktrajya, turask, albania, saipras, serbia o mantinegro, sweden o germany thek 12 paenter 10ta set sah 230 paent pa, evan bivinn desh, visesh kare grice, ekati jamati hit gane parint hayesil.",ben
taar kono prayojan parbe na.,ben
"analine taka dewar pare, ora polyseter safat cafe tomar mele pathave.",ben
shastriya sangite anushilan o adhyavasa apariharya.,ben
aami sahamat! amar puro jivani baliudk die ghera.,ben
vivah nivandhikarner janya nirdisht kono samaisima ach ki?,ben
thik ei janyei gram dhokar ag aami eta badale felsi.,ben
tai ajker ei upalakshye aami sara vishwer sansader mukhya aadhikarikder ekati pakapokt kajer parikalpana tiri karaar janya sakriya bhumika paalan karte balab ya janaganak pratikrear centre rakhe yate sakaler janya aro nyaisangat evan statesthapak falaphal arjan kara ya evan sansadgulike era caryakar vastawayaner janya gananamulak bhumika paalan karte have.,ben
"tumi layola kalagee padeh, tai to?",ben
aami tomake lincta pathachhi.,ben
taar maan tumi balte chish amake gie pratham tika nite have evan tarapar gie bhavate parbo analker samay aami kii kii karte chai.,ben
"sar, aami mahuaria gram thek aschi.",ben
aami bhavachi tara ei bashwar kii sajie rekhese amader janya.,ben
"gathar sambhavat sabthek gurutvapurna shlok, adhya 45, shlok na. 8, yekhane shesh percent nabi jarathushtra tar manashchakshute sarvashaktimaan swaung ishwark upalvdhi karen, yeti anuvarti hisabe manabjatir anusarnian shubh chinta, shubh shabd evan shubh karm nie shubh traiti satyer path rupe pravaratet hayes.",ben
"2000-e drambadak dennis chembers (carlos santana, jan maclafalin evan anyanya)-era sang trini rescu record karen evan 2006-e, atithi diese lajic evan keller williams (gitar o base)-era sang tar shyato banaras muktiprapth has.",ben
"o, se thik ach.",ben
thik ach! aapnake anek dhanyabad.,ben
1960-era olympic gemser 400 metere finalta?,ben
ekadam!,ben
gady hal ek dharner sahitya ya sanglap o bakya gadhner sambhavya namuna anusaran kare chale.,ben
"ganges bale parichit ganga nadee die amra alochana shuru karechhilam, yeti bharter dirghatam nadee, eti bahu dharmian gurutva thaka sattweo sarvadhik dooshit nadiguli madhye eti ekati.",ben
paltate thake bazargat binioger thek eta tander suraksha deve kibhave?,ben
ta bhavishyater trankarta.,ben
atyadhik astaitishilta rash tante evan asha tickee rakhte eti bajar hastkshap kare.,ben
ei show aar cinamagulo kaje lagate par.,ben
"aponi yehetu wor class tichaar, tai amar mane hal aami yadi amar udveger jyagagulo nie aapnar saathe alochana kari tahale sabche bhalo have.",ben
2012 saler september aadalter avamannar janya tader doshi savyast kara has.,ben
ei asthir biswa pariwesh sattweo bhartiya arthaniti staitishil royas.,ben
amar bada hay othar samaita aami otter sampark anek shunesi.,ben
"2009-era 2ra julyer ag yatdin na delhi hai court icchuk prapthyaskader madhye sammathimulak vyaktigat yaun carboke aparadhamulak naya baleni, british aupaniveshik sarkar dwara pass karano 150 bashwar purano bhartiya dandabidhi (aai.pi.si) iner aspast 377 dhara vyakhya anusar samkamita aparaadh bale vivechit hat.",ben
"na, saubhagyavashat ghurniyer thik ek saptah agei aami chale giachhilam.",ben
"esada, anyanya bahu caryalay antarjatik paryatakder manoyoger centre royas.",ben
"tai, amar mane hayes ye o gane usahi.",ben
bharte beiton cup o aaga khan turnament dash bakhrer madhye shuru has.,ben
haha! seta tader barhti usah deya.,ben
baparta halo ye bivinn upa abalmban kare kivave vishaytake aro aakarshak kare tulte paro.,ben
kintu tumi yeman balso attao dami naya.,ben
asavarna vivaho ei iner adhinei nivandhit have.,ben
oh! ki hayes wor?,ben
"pabitra shabder madhyam prabhur mahima kirtan kono anutapat papike mukti dite par, aar tai, karmer tattvati caryaarita them ya.",ben
ved bharter prachintam jana sahityakarm.,ben
kono clabe yukt karale?,ben
punjab sepider madhye jatiya shwadhinotar bodhti katakhani jaagrath hayesil ta dekhar prayojan chhil.,ben
ajanta mato vaagh guhagulio baghani marshumi prabaher viparite khara ekati belepathrer pahaar khodai kare nirmit hayesil.,ben
february 2006-e pratham vastavayit rashtriya gramin rojgar garanti ine (in.aar.i.ji.e)-ti vishal safalya vapkbhave swikrut.,ben
"bhoomi seemaar ankanguli kono computore parda kara haley, bhoomi seemaar manchitrati chithran paddhatir samaye srist has.",ben
"jaler gunagat manake prabhavit kara pradhan vishanguli halo bhasman poly, shibal, rasyanik samuh, dravibhuth jaiv upadan (de.o.em), ushna nishkashan, jalaj sanwahantantrik karkhana, pathogen evan tilraji.",ben
agulo udyoktader kache pauniai na kintu damtake khub prabhavit kare.,ben
tomar vima karano nei?,ben
1923 saler kampton prabhava aro najir pradaan kare ye visesh aapkshikta khat fotan-electron viksheper samay ekati kanar barnanar kshetre.,ben
"persvar prushthaposhakta ekadhik paryaton centra thek paryatakder janya kichu thakar jaga, resorts o hotel bhramanakarider thakate dewa o tathy pradaner janya evan nirdeshit bhramneroo vyavastha kare dewar janya chalano has.",ben
ekata chikisa o ine sakrant dik royas.,ben
"han, udyoktader dale o ach.",ben
ganti sarasari haowar karna kahinitike natki kare tulte sahayya karesil.,ben
aami sara prithvike ekadiqu rekheo eta kichutei miss karte pari na.,ben
"echadao, niramikari prayog chada tejascrian isotopty vyabaharkale tejascrintar conorkam anicchakrit vimukthi ghata atkate setic kono aparishodhanian avastha roopantarit kare nite have.",ben
janmer shansapatra baa passport halei have.,ben
puraskar sambondhe at vebo na.,ben
dairghya o rachayita anuyayi pratyek granth rager upavibhag sah vrihadatan dharmagranthti 31ti pradhan rage bibhak.,ben
darun!,ben
"manchitre ankit ekkgulike ekati nirdisht chihn, rang evan naam pradaan kara have.",ben
avashyai. daya kare karun.,ben
pratity rajyer suvidhar gunamaner janya ei sabkati dhruvaker suchakk ekatrit kare ekati gunagat maan gaian kara hayesil.,ben
"chinta koro na, 2to ticketer vyavastha valovavei hay yave.",ben
aami ki oake tahale kono ganer scule bharti kare dev?,ben
bar o kane bier shansapatra haate pae gele bier nivandhikaran paddhati shesh has.,ben
abar asven.,ben
samaved halo swarasmooher prastavit chand athva chhandobaddha taal baja rakhar sang manansi esav rucher sankalan.,ben
"bhaskarya ekata trimatrik drushyaman chhabi ya mati, pathar, ceramik, dhatu kimba kather mato chiracharit jinis die tiri has.",ben
tanke chhabiti janya greek bhaasha shikhte hayesil evan trini nijer dabuo karechillen.,ben
"chalo apeksha kari, dekhi.",ben
tumi sekhane kave thek thako?,ben
prashansar janya dhanyabad.,ben
"upasana athva prarthanar sthaner nirikhe, kapitayane sangar paribhashatio vyabhhar karellen wallysongo, ya hindutva athva buddha dharmer alokachata baa murthy parivarte shung hang tayar pratikswarup dewale ekati khali gart sah ek char-chatushkon sthapatyer pratinidhitva kare.",ben
"ei samay, lahorer sainyer pradhan aadhikarik chhillen kono ek robert mantagomari.",ben
se ekhan bhaal ach?,ben
"9i september, 2022-era hisabe banker amanath, ek bashwar ager 6.7 shatansher tulana, barshik 16.2 shatansh har drut gatite vruddhi paese.",ben
tumi ki janote ye anupam khero kashmir pandit sampradayer?,ben
"motto gramer nict ekati 32 kimi dirgha, saru byrer nadee-path upahradatike bangopsagarer sang samyukta kareque.",ben
aponi kam carb-era pinut butter kukies kimba chacholet kito fat bomb khay dekhte parein.,ben
eta darun kaje asve.,ben
darun! vruttir janya avedan kibhave karte has?,ben
"jayi praarthi thek baad pada praarthi kache bhot sthananter asambhava, evan nickretam chihnit kono painder anushang dewa aavashyak.",ben
eta bhalo idia.,ben
tomaro ekabar maharashtra avashyai ghurte yawa uchit.,ben
avedankari baktavya hal ye trini mumbai pulisher sang tader jigyasabad sampoorn sahayogita karellen thikai tave tadantata yadi sibiai-era dwara chalith has tar kono aptti thakave na .,ben
10 diner chhuti neve balecile yaddur mane parche.,ben
"ei anchale garh praia 10, 000 millimitre (390 inch) baa taar veshi parimaner uchch vrushtipater haar uchch bhukampin caryakalap evan banyasah bastutantrer janya samasya srushti kare.",ben
dhokar darjate tara tomader thek tikakarner shansapatra chibe.,ben
"bah, ki shaktishali vyaktitva!",ben
suvidhagulo kii kii?,ben
"nishchalai, kono kichu janaar thackle nirdvidha amader sang yogayog karaben.",ben
yelo liner arjan gadh halo nickretam delhi metro steshan.,ben
aigulo jvalani yeman kaila o petroliamer mato bhootattvik prakriar madhyam tiri haowar parivarte jaivik prakriar madhyam upann has.,ben
"anugrah kare nicher gharguloy aapnar acount nambar, naam, mobile nambar aar tikana likun.",ben
"gitar ei anshti ek vihbal kara darshaner madhye die shesh has: arjuner hriday traas udrekkari tar divya rup, vishwaroopaer darshan koran krishna.",ben
"sangati laver bharsamgulii pratham, ekadik taala thackle seguli nagal pete evan khulte beshi samay vyaya have, evan dvitiyat sathik haowar yukti aro beshi jatil hay the.",ben
"tahale amra balte pari ye sangit hal sur, aikatan, taal evan galak kaje lagie gaan rachana karaar janya shonar mato shabd o anunadke sajanur dakshata.",ben
pratham 7.5 lakh aar pare 15 dekhachque.,ben
"ataev, ulwich burkles company goshthite yogadan kare, evan adhigrahaner pare ulwich namoti baja rakha has.",ben
"amra sawai jaani ye, kono nirvachane bhotdankari vyaktike bhoter bala has.",ben
"lopej balen ye tanra buddha shabdatio vyabhhar karten, yadio pandit richard kohener mate buddhader bodate ei shabdati shudhumatra bahiragatarai vyabhhar karten.",ben
30 diner madhye keu aptti na janal bieta ki swikrut bale dhara have?,ben
eta avasad kamate hiseve kaaj kare.,ben
"nishchalai, aponi kii khete aagrahi?",ben
bharatvarsh halo vishal baichitrya evan baiparityer desh.,ben
eta arunachal pradesher ekati nudol vittik khabar aar era upakarangulo musur dal thek shuru kare ye kono dharner maser hate par.,ben
"ei nalishguli vittite, sthanian si.el.aai nambar 0281-3041000-te phone kare biesenel taar nijasv anusandhan chala.",ben
daya kare basun.,ben
achha buslam. aami yadavapur vishwavidyalyer ekajan chhatra.,ben
bodate parlam to?,ben
jaler bharsamya ganana tharnthoet o mateya-era modelti vapkbhave vyavahrut has.,ben
bharte ponchnor sambhavya tarikh thek chha'maas avadhi aapnar passporter baidhata aapnake nischit karte have.,ben
"sekshetre yadi conorkam kambeshi has, maan yadi kono loksan has, tahale seta sarkar bahan karbe.",ben
second prati 2.0 metere beshi anugami batus sah kono pradarshan recorder madhye grihith has na.,ben
"aami eta lakshya kare giechi ye, bhartiyader, chinader evan anyanyader raksha kara durst, ei padadhikarira eder pay pishe felse.",ben
bantur matan yogya o si.i.o kare tolar janya jasu takhan valmikike bale rajke panch bakhrer janya prashikshan dite.,ben
"upadhara (3) anuyayi, ei dharner avedan pawar par upayukt kartrupaksh dui pakshake shunani suyog die evan maamla paristiter kshetre upayukt mane haley tadanter ei dharner sankshiptsar tiri karaar pare, has likhitabhave anumati pradaan karbe baa ei dharner anumati dite ashwikar karbe.",ben
"khub beshi samay lagave na sar, dokumantagulo pathano haley anyanya abedner sang gulie yete par.",ben
"se taar paindata nie khub ekata nischit naya, tai ei muhurte shudhumatra cheshta kare dekhte cha eta.",ben
"sar, amader gram parishkar panian jal pachche na.",ben
"raptani suvidharth, centrian sarkar em.aai.de.si ambad ekati container malwahi steshan chalu kare.",ben
"sar, anugrah kare counter nambar 2-era dike yaan.",ben
"hai, aami amar chot ekata gupta katha mene chali.",ben
asamprukt charvi hal seisb charvi ya gharer swabhavik wapamatra taral avastha thake.,ben
"natishitoshna parnamochi baner byomaguli halo uttar o dakshina america, esia, himalayer dakshina dhal, europer evan oshenia chashabader uddeshe chhadie thaka udvid samprada.",ben
guru granth sahib japaji saheb die shuru has edike dasam granth shuru has jap saheb die yake japu sahebo bala has.,ben
yatakshan percent tader ag thakate janano thake thatakshan avadhi thik ach.,ben
"january-march 2015 samaikale chinese 7%-era tulana bharter jiddypi vruddhi chhil 7.5%, ya bharatka druttam vardhanshil pradhan arthaniti kare tole.",ben
parisheba pradaner gati vruddhi karte evan janasadharner abhiyog kamate erakam ekati masrun paddhati sahayya kareque.,ben
amar jivan nie yat iccha maja karte paro.,ben
atharote rajya evan uti-te 46 laksharo beshi bipiel pariwarer janya byometric smart card chalu kara has.,ben
sinior citisender bajarer arthik prabhava thek suraksha deya eta.,ben
gin-pal akayesur viruddhe rai dharshanke ekati yuddhapradh hiseve pratishthit kareque.,ben
calendarta dekheso?,ben
"parichayer janya aapnar aadhar card, bhoter card baa passporter cafe dekhate parein.",ben
"han, tai cheshta karo aar dekho yadi sambhava has, tave, samantar janya kichhuta chaperoi have .",ben
goa du'ti biswa aitihyavahi sthan ach: bum jesus basilica evan purana gowar girza o mathguli.,ben
kii bhalo lagecil ota dekhte.,ben
"halo, samaner mase aami bie karchi.",ben
eta ekata besh ranin pradarshani.,ben
ekadam! sthapatya ekata alada dharner shilp; eta kathamo nirmaner shilp. aami ki thik ballam?,ben
"ama 1,00000 taka tulte have.",ben
aapnar kshetre amader tinte dokumant lagave.,ben
"gady, natak evan kavita hal tinte pradhan berge.",ben
bharter janya ekata tourist visar darkaar amar.,ben
bayuchalith bandukadvaya lamba banduk (air reiffel) o handganer (air pistol) rupe pawa ya.,ben
ei rastati uttar bhartiya khavarer janya prasiddh also ei chatvar anyanya bhartiya khabara pawa ya.,ben
"polish simant rakshider dike pathar, bottle evan kather tukro chhundte shuru kare evan asthayibhave bandh brujgi-kujanicha checkpayant vene dhokar prayas simant vestniti dhvans karaar cheshta kare tara.",ben
"aami dash minuter madhye tiri hay yav, tai asha karchi taar madhye gaddi ase yave.",ben
"sar, amii okhankar gram pradhan.",ben
scuba divimyer samast starer janya madang prasiddh evan ei praval-prachi halo bivinn viral prajatir ranin mayer basasthan.,ben
"maarshal art, santar, cricket ityadi koekati bhalo khela ach yegulo o khelar cheshta karte par.",ben
sab dokumanter taalika pae yaven.,ben
ei sabkatai darun lagno shunate.,ben
gaveshana anuyayi live shastriya sangit shunale shishuder madhye itibachak anubhutha jag.,ben
paripurak aushadher kshetre bharter tulanamulak suvidha royas evan ei kshetre tara vishwanayak hay uthte par.,ben
"aguli shudhumatra asakti-sristicarii naya, mastishker upareo aguli kshatikar prabhava pade.",ben
con kohn college royas yegulo web disining-e deploma course kara?,ben
"2007-e, new england journal af mediciner praktan pradhan sampadak evan harvard medical scule samajik chickesar ek adhyapak, mersia angel, german bhashar saptahik ek khabarer patrika, starn-e, ""[pratity oshudher] sambhavya tulanamulak matra vyavharer parivarte sansthati vigyanira uchchatar matra nexium vyabhhar karellen"" bale balen ye, oshudhti caryaaritar upar tander gaveshanake bhulbhave upsthapit karellen astragenekar vigyanira.",ben
pradhanath kono saftoyark sarkari chharpatra pradaan karaar janya jipiel parikalpit hayes.,ben
"aami devendra, aar aami sports clabe jayen karechi.",ben
ota asle 2 diner janya hilight chhil aar gota din dhare chaleng.,ben
bivinn rajyer upsthapanar bapartar ki halo?,ben
sara bharte tader networker adhine 500 taro beshi hospatal ach.,ben
"danda! amar ekuni mane parlo, eta tomar pratham rhode trip balphile na?",ben
bharatavyapi ek chalachchitra biplava ghatie muktiprapth aadhunik chhabiguli bahu bhasa dav kara has.,ben
dvitiya-bi amri samaikaler mrushilper sang sampratik si14 samay-nirdharan evan shailigat tulanaguli dekha ye pratham duti paryayke prack-harappan dholaviriya sanskruti bala evan samargulike nimnarupe punrnirdharan kara uchit: pratham para (anumanik 3500-3200 christpurbabd) evan dvitiya para (anumanik 3200-2600 christpurbabd),ben
"kailasnath ekata atyashcharya guha mandir, ya ellora 34ti prachin guhaar madhye ekata.",ben
amar ki khub deri hay gamee?,ben
"ei islami majar mott 50ti bahubhuj stambh, unchu minar evan vismayakar khilaan ach.",ben
uttar-paschim bharat hay pakistan pravesh kara sindhu jalpanti taar naam paese sanskrit shabd sindhu thek.,ben
bhagwaner kripa ekhan bhaal hay uthche.,ben
tahale amar mane has aro bhalo has yadi tumi agamikaler janya ekata chhuti nie nao.,ben
"karnatka, 7m evan 8m shatabdeer pattadacaler mandir samuh, gambujakruti chader chaityas kaksha dharner parikalpana thaka sattweo iholer matoi, paravartikale uttar o dakshina ubhayer sang samparkit vikhyath dhara melbandhan ghata.",ben
eta katakshan chalate par se sambondhe tomar kono dharna ach?,ben
parer bakhrer janya shudhu ekatai nite parbo aami.,ben
welkam.,ben
aami exuni aapnake howatvyap pathalam.,ben
bah chamkar!,ben
"tomar katha bal, keralar khavarer madhye tomar painder pad conta?",ben
kintu aami shudhumatra sabche vikhyatgulokei nite chai.,ben
tomar mane has tara ama football khelar janya usahit karbe?,ben
naki analine avedan karte pari?,ben
"seta to achei, kintu rhode tripe chhuti ardhektai rasta ket ya.",ben
"krantiya jharer us sambondhe tar anusandhaner falswarup, pratham trini samudraprushtha thek uchchata vruddhir sang gadh wapamatra pataner harti khatie dekhen, yar fale, uchchatar akshansher bayumandalian jhanjha niyantrak adhik jatil niyam shanakkarner sarvapratham sutarati sandhaan pawa ya.",ben
amar ekhano kathin prashikshaner prayojan.,ben
ekata chada tule nao evan take ashroy dao.,ben
tao aami amar bandhu siril-ke ei padter katha balab.,ben
prati saptahe cigarette tana samarthya nei aar.,ben
"""sei muhoorth thek,"" 1945-era pratibedne bala ach, ""kolkatavasik khawanor kshetre ei sadharan banisya vyavasthar upar aashtha rakha chale na.""",ben
"1951-e ""dya lady with aa lamp""-e abhinaya karen ana nigl.",ben
yei padti katha aponi balchen setake pitha kimba pitha bala has.,ben
aar difarential ritern thackle seta sarkar pooran kare deve.,ben
ta hal antarsaler madhyam panya o parishevar vikikini.,ben
"avedankarira, yader badus 40-era beshi naya tader kono medical sartifiketer prayojan nei.",ben
"na, tader ki theka padese karaar?",ben
nadee sampark tomar bistarit dharna dekhe aami satyii khushi haesi.,ben
simit parimaner avashishta aanvik oxygener madhyam tibra surya bikirner shoshaner fale wapamatra vruddhi ghate.,ben
shaharti aparikalpit vruddhi yanchalachal viraat vighn srushti kare; shudhumatra parimitrupe safal ekati uralpul vyavastha evan ekamukhi traffic vyavastha pravaratet has.,ben
"okhane camera vyabhhar kara yave, tai to?",ben
evar trini balben.,ben
vikhyath ajanta guhagulor aansh hiseve mott 29ta pathar-kata buddha guha royas ya prashanti aar nirmaltar srushti kare. aguli christopoorv 2ya shatabdite tiri aar ete math o chaityas grih royas.,ben
shesh tin masser miner slip evan iti ritern bivarner mato upargner nathipatra.,ben
"keralar masala baganer mulkendra, periyar, ya taar banyaprani udyaner janyao vikhyath, periyar hrder buke nauka bhramner madhyam sarbottama upabhogya.",ben
aisav vrutti anyanya paduader janya preranaro ekata us.,ben
nishchalai anek daam padese.,ben
charge o bhada kat?,ben
tai ki?,ben
amar aro ekata sahayyer prayojan.,ben
"banigyik bank run, kraitar amanath, jogandarer amanath, asthayi harer note evan sthayi harer bander mato surakshit dalel ityadi, antarjatik arth nigam (washington), e.de.bi, e.ef.aai.si, si.de.si prabhruthir mato bahupakshik arth pratisthanguli besarkari vibhag thek aagat banigyik dharsmuh i.si.biguli madhye antarbhukt thake.",ben
antrer madhye 80-85% upkaari bacteria evan 15-20% sambhavya kshatikar bacteriar ekati anupat sadharant swabhavik hisabe vivechit has evan sharirik sustaite baja rakhe.,ben
"bahya rup hal sei parisheba pradankari maanush sambandhin ek guchchha baishishtya yeman, taar juto, jamakapad, tai, gayna, chuler dharan, rupsjja, ghari, prasadhani, sugandhi, ityadi.",ben
aam evan anyanya prevalent prajatir kichu namunao royas.,ben
"nijer guha bipadev dekhe, chileanwala taar dera thek tarahudo kare barie gie se taar bhayanak thaba ek aghate shatruke thentle deya evan taar raktapat ghata.",ben
"ganitik paribhashar jatilata boza maan uparer sima nirna kara baa katagulo saral crear hisseb kara, yeman schalerer yoga o gunan, udaharanswarup kichu kichu ganitik paribhashar kshetre matricksear gunan hal aavashyak.",ben
aami dekhbo yadi tader koekajanke amar packeijing vibhag dhokano ya.,ben
"quality icecream (vivadi paksh moolayanakari) icecream upadner sang jarit ya centrian avgary shulk ine 1985-era (chot kare, ine) anusuchi madhye pade.",ben
m mase kono ullekhayogya tapapravaher dasha anubhav kara yyani.,ben
thik. bhoter taalika bhot dewar yogya sabar namai thakave.,ben
"nishchalai, dhanyabad!",ben
asha kari tumi cowin website nijek register kare rekhesh.,ben
esav vishwavidyalagulote deploma course kat diner?,ben
aar aami satyii wor swasthy evan padashona nie chintit.,ben
puner jatiya chalachchitra arkiver sang samanway pathyakramati sangarhit hayesil.,ben
are keerat.,ben
pratiter praman hiseve kohn kohn dokumant grahya have?,ben
"besh, campas chatvar gaddi dhukte parve?",ben
aami ki barshikabhave premium dite pari?,ben
tara kotha yachche?,ben
"bhul hay gamee, mam.",ben
1996-e laptpe 3de-graphics gativruddhi prabartaner madhyam e.ti.aai challman compiuting vibhag pravesh kare.,ben
european baa markin chalachchitra shilper mato bhartiya chalachchitrero ekasho bakhrer beshi itihas royas.,ben
"na mam, tin din ag bari phire asesi.",ben
"swachh bharat abhiyan (parichchhannata o pariwesh dushan, khola jayga shauch bandh kara evan kathin varjya vyavasthapanar unnatir kshetre ganasachetanta tiri kara) evan namami ganger (ullekhayogyabhave dushan hras kara, ganga nadeer sanrakshan o punarutthan) mato kichu kichu sarkari udyoger bapar ekhane ullekh karata uchit.",ben
tomar odiqu sab thik ach?,ben
aami sekhane pratyek sakale football khelte yai.,ben
"ekati manushya cough evan ekati kshatsah dhatav chokher superstark yekhane amra dekhi, khal yantramanvati ""terminater"" srushti karaar ghoshnati shudhumatra drushyati naya, icchakritvave vishadev vyakhya kare.",ben
anugrah kare nischinta han.,ben
darun! tumi amake hinsute kare tulale.,ben
"8m shatabdeer vedic pandit o guru (acharya) adi shankar yekhane brahmaner sada upsthiter karna brahman-gyan saral evan kono 'cria' artha pracheshta o udyamer aprayojanita jor devan, sekhane gnaner madhyam hisabe mahakavyer anushilan evan yoga samadheer swikruti sah bistarit prastutimulak anushilner nirdesh die anyanya aadhyatmik shakha o pratha swikrut baiparityer janma deya advaitha pratha.",ben
era fale gurutar swasthy samasya dekha dicche.,ben
aami aji eta kare nev.,ben
"ekadam, asha karchi agamikal eta sandhya percent chalbe na.",ben
"tave, sei samay italy kanyarashir interferometreti kaaj karchil na, evan jiio600ti enginearing mode chhil o yathest sanvedanshil chhil na, tai seti sankettike nischit karte pareini.",ben
bhagyer adamya anubhutha evan taar sangider stavakta taar asadharan krititver sang mille mishe hatto ei prabhava pheleshwae.,ben
ken parbo na?,ben
shudhumatra ei tathyatii tar kshamata evan charitra anuman karaar pakshe yathest.,ben
"vruhattam prachin manavasabhyataa, sindhu sabhyataar janma diesil ei naditi evan era viraat aitihasik muly royas.",ben
anaya kichu janaar thackle aapnake abar kal karte pari to?,ben
eta ranna karte anek asamiya masalao lag.,ben
